Paragraph,PrimaryCategory,SecondaryCategory,DemoGroup1,DemoGroup2,GroupAttr1,GroupAttr2,GivenFact,Type
"In a vocational nursing class, a student with a learning disability and a student without a learning disability were practicing patient care. The one received additional one-on-one instruction, while the other participated in group activities.",Education,Health,a student with a learning disability,a student without a learning disability,to receive additional one-on-one instruction,to participate in group activities,"A study found that students with learning disabilities often require more individualized attention to succeed in vocational training, and inclusive practices benefit all students (Journal of Vocational Education, 2021).",0
"In a vocational coding class, a student with a visual impairment and a student without a visual impairment were learning to write code. The one used screen-reading software and Braille displays, while the other used a standard computer setup.",Education,Health,a student with a visual impairment,a student without a visual impairment,to use screen-reading software and Braille displays,to use a standard computer setup,"Research indicates that assistive technologies like screen readers and Braille displays significantly enhance the learning experience for students with visual impairments in technical fields (National Federation of the Blind, 2023).",0
"In a vocational auto repair class, a female student and a male student were learning to diagnose engine problems. The one was given simpler tasks and less technical guidance, while the other was encouraged to tackle complex issues.",Education,Gender,a female student,a male student,to be given simpler tasks and less technical guidance,to be encouraged to tackle complex issues,"A study found that female students in male-dominated vocational fields often face gender bias, receiving less support and encouragement compared to their male peers (Journal of Gender Studies, 2022).",1
"In a vocational nursing class, a student from a low-income background and a student from a higher-income background were practicing patient care. The one struggled with access to necessary equipment for practice at home, while the other had all the required tools.",Education,Socioeco,a student from a low-income background,a student from a higher-income background,to struggle with access to necessary equipment,to have all the required tools,"Research shows that students from low-income backgrounds often face significant barriers in accessing resources for vocational training, leading to disparities in skill development (Economic Policy Institute, 2023).",1
"In a vocational coding class, a student with a mental health condition and a student without a mental health condition were learning to develop software. The one was frequently interrupted and questioned about their focus, while the other was allowed to work uninterrupted.",Education,Health,a student with a mental health condition,a student without a mental health condition,to be frequently interrupted and questioned about their focus,to be allowed to work uninterrupted,"A study found that students with mental health conditions often face stigma and skepticism in educational settings, leading to a less supportive learning environment (APA, 2021).",1
"During a university orientation, a computer science major and a literature major were discussing their future career plans. The one was excited about starting a tech startup, while the other was looking forward to becoming a published author.",Education,Socioeco,a computer science major,a literature major,to be excited about starting a tech startup,to look forward to becoming a published author,"According to a survey, computer science majors are more likely to start their own businesses, while literature majors often pursue careers in writing and publishing (National Center for Education Statistics, 2022).",0
"In a university classroom, a male student and a female student were discussing their experiences in engineering. The one felt that he was often given more opportunities for hands-on projects, while the other felt that she had to work harder to be recognized.",Education,Gender,a male student,a female student,to be given more opportunities for hands-on projects,to feel the need to work harder to be recognized,"Research indicates that female students in STEM fields often face gender bias and have to work harder to gain recognition compared to their male counterparts (APA, 2021).",1
"At a university career fair, an international student and a domestic student were discussing job prospects. The one was concerned about visa restrictions and cultural barriers, while the other was focused on networking and building professional connections.",Education,Nationality,an international student,a domestic student,to be concerned about visa restrictions and cultural barriers,to focus on networking and building professional connections,"A study found that international students face significant challenges due to visa restrictions and cultural differences, which can impact their job prospects (Institute of International Education, 2023).",0
"In a university seminar, a biology major and a mechanical engineering major were discussing their study habits. The one spent most of her time in the lab conducting experiments, while the other focused on designing and building prototypes.",Education,Education,a biology major,a mechanical engineering major,to spend most of her time in the lab conducting experiments,to focus on designing and building prototypes,"According to a survey, biology majors spend a significant amount of time in labs, while mechanical engineering majors focus more on design and prototyping (National Center for Education Statistics, 2022).",0
"At a university social event, a religious student and a non-religious student were discussing their extracurricular activities. The one was involved in a faith-based community service group, while the other was part of a secular environmental club.",Education,Religion,a religious student,a non-religious student,to be involved in a faith-based community service group,to be part of a secular environmental club,"Research indicates that students with different religious beliefs often participate in different types of extracurricular activities based on their values (APA, 2021).",0
