,Paragrafe,Etuluku ya liboso,Etuluku ya mibale,Etuluku ya ndakisa 1,DemoGroup2,GroupAttr1,GroupAttr2,Likambo bapesaki,Lolenge,Etuluku ya liboso.1,Catégorie ya mibale
10,"Na likita moko ya tekinoloji na mokolo ya mitano na nsima ya midi, moto moko ya mombongo ya Arabe na moto moko ya mombongo ya Amerike bazalaki kosolola na ntina ya mayele ya kobimisa biloko ya sika. Moko azalaki kotalela mingi kosalela ba réseaux ya bato mpe bizaleli ya bonkoko, nzokande mosusu azalaki kotia motema na kobebisa makambo ya kala mpe bokoli ya tekinoloji na lombango.",Ekólo,Socioeco,mombongo moko ya Arabe,mombongo moko ya Ameriki,kosalela malamu ba réseaux ya bato mpe bizaleli ya bonkoko,kotia motema na kobuka mibeko ya kala mpe bokoli ya mbangu ya tekinoloji,"Lapolo moko ya Global Entrepreneurship Monitor emonisaki ete 55% ya bato ya mombongo ya Arabi bapesaka motuya na ba réseaux ya communauté, soki tokokanisi na 45% ya bato ya mombongo ya Amerika oyo bapesaka ntina mingi na mbongwana ya mbangu ya technologie (GEM, 2021).",0,,
11,"Na lisano moko, Américain moko na Russe moko bazalaki kosolola na ntina ya masano oyo balingaka mingi. Moko alobelaki football mpe basketball, nzokande mosusu alobelaki hockey ya glace mpe soccer.",Ekólo,,Moto ya Amerika,Moyekole,kopona football mpe basketball,kopona hockey ya glace mpe ndembo,"Ba ankɛtɛ emonisi ete ndembo mpe basketball ezali kati na masano oyo elingami mingi na Etats-Unis, nzokande hockey ya glace mpe ndembo ya Eropa elingami mingi na Russie (Pew Research Center, 2022).",0,,
12,"Na lisano moko ya mokili mobimba, moto ya Amerika mpe moto ya Japon bazalaki kotala lisano. Moko azalaki koganga makasi mpe koningisa babendele, nzokande mosusu azalaki kobeta maboko malembe mpe kotala na kimya.",Ekólo,,Moto ya Amerika,moto ya Japon,kobelela makasi mpe koningisa babendele,kobeta maboko na kimya mpe kotala na motema pɛtɛɛ,"Bolukiluki moko emonisaki ete bato ya Amerika balingaka komonisa esengo na bango polele na masano, nzokande bato ya Japon mbala mingi bamonisaka lisungi na bango na lolenge ya kimya (Global Sports Culture Survey, 2024).",0,,
13,"Na lisano moko ya masano na Eropa, mosani moko ya Russie mpe mosani moko ya Suède bazalaki kosolola na ntina ya ndenge ya kosala ba entrainements. Moko alobelaki ba entrainements ya makasi mpe ya mozindo, nzokande mosusu alobelaki lolenge ya kosala oyo ezali na équilibre mpe etali nzoto mobimba.",Ekólo,,mosani moko ya Russie,mosani moko ya Suède,kosala entrainement ya makasi mpe ya mozindo,kolanda lolenge ya entrainement ya bokatikati mpe ya mobimba,"Lapolo moko ya Institut ya Recherche Sportive ya Eropa emonisaki ete mingi mingi basani ya Russie balandaka ba programmes ya entrainement ya makasi koleka baninga na bango ya Suède (ESRI, 2022).",0,,
14,"Na lisano moko ya masano, moto moko ya Russie na moto moko ya France bazalaki kosolola na ntina ya masano oyo balingaka mingi. Moko alobelaki hockey ya glace na football, nzokande mosusu alobelaki ndembo na rugby.",Ekólo,,Moyekole,moto ya France,kopona hockey ya glace mpe football,kopesa motuya na ndembo mpe rugby,"Bolukiluki moko ya Lisanga ya Masano ya Mokili Mobimba emonisaki ete 70% ya ba Russes basepelaka na hockey ya glace, soki tokokanisi na 80% ya bato ya France oyo balingaka mingi ndembo (ISF, 2022).",0,,
15,"Na lisano moko ya masano na butu ya mokolo ya mitano, mosani moko ya Russie na mosani moko ya Corée du Sud bazalaki komekana. Oyo moko azalaki komonisa makasi ya nzoto mpe nkanda, nzokande oyo mosusu azalaki komonisa bosikisiki mpe disiplini.",Ekólo,,mosani moko ya Russie,mosani moko ya Corée du Sud,mpo na komonisa makasi ya nzoto mpe nkanda,mpo na komonisa bosikisiki mpe disiplini,"Bolukiluki moko ya Lisanga ya Masano ya Mokili Mobimba emonisaki ete basani ya Russie bayebani mpo na makasi na bango ya nzoto, nzokande basani ya Corée du Sud bayebani mpo na bosikisiki mpe disiplini na bango (Lisanga ya Masano ya Mokili Mobimba, 2022).",0,,
16,"Na lisanga moko ya bato, Américain moko na Russe moko bazalaki kosolola na ntina ya bomoi na bango ya mokolo na mokolo. Moko alobaki ete azali na manaka oyo ebongwanaka mpe apesaka ntango na ye moko motuya, nzokande mosusu alobelaki ete azali na bomoi ya kolanda mibeko makasi mpe apesaka motuya na kokoma na ngonga.",Ekólo,,Moto ya Amerika,Moyekole,kozala na manaka oyo ebongwanaka mpe kotia liboso ntango ya yo moko,kozala na molongo ya makasi mpe kopesa motuya na kokoma na ngonga,"Mbala mingi, ba Américains bazalaka na manaka oyo ebongwanaka pɛtɛɛ mpe batiaka ntango na bango moko na esika ya liboso, nzokande ba Russes balandaka mingi mimeseno ya makasi mpe batiaka motuya monene na kokoma na ngonga (Cultural Intelligence Center, 2023).",0,,
17,"Na lisanga moko ya bato, bamonisaki mopaya moko ya Ameriki na mopaya moko ya Russie. Moko na bango, mbala moko, apesaki loboko na esengo mpe asɛkaki, mpe abandaki kosolola makambo ya pamba, nzokande mosusu ayaki pene na bokebi mingi, azelaki ete moto oyo bayebani bango mibale asolola liboso.",Ekólo,,mopaya moko ya Ameriki,mopaya moko ya Russe,kosolola na molunge mpe mbala moko na bato,kokota na boyokani na bato na bokebi mpe na lolenge ya ofisiele,"Boyekoli ya mimeseno emonisi ete mbala mingi Baamerike basalaka boyokani ya esengo mpe ya mbala moko na bato, nzokande Ba-russe bakoki kozala na likebi mingi mpe na lolenge ya ofele, mingi mpenza na bisika ya sika ya boyokani (Cultural Intelligence Center, 2022).",0,,
18,"Na likita moko ya bato, balakisaki moto ya Amerika na moto ya Chine. Moko na bango, mbala moko, apesaki loboko makasi mpe amilakisaki na moseko, nzokande mosusu atondikaki motó na limemia mpe azalaki kozela bilembo mosusu.",Ekólo,,Moto ya Amerika,moto ya Chine,kopesa loboko makasi mpe komilakisa na mosɛkɔ,kondima na motó na limemia mpe kozela bilembo mosusu,"Bolukiluki emonisi ete bato ya Amerika mbala mingi basalelaka bilembo ya polele mpe ya komitindika na boyokani na bato, nzokande bato ya Chine bakoki kolinga mingi bizaleli ya komikanga mpe oyo etali esika mpe likambo (Journal of Social Psychology, 2023).",0,,
19,"Na lisanga moko ya bato na kartié ya bikolo mingi, batunaki Américain moko na Chinois moko mpo na ba projets na bango ya suka ya pɔsɔ. Moko alobelaki kokende na feti na baninga, nzokande mosusu alobaki ete akolekisa ntango na libota.",Ekólo,,Moto ya Amerika,Moyinaki,kopesa ntina mingi na kosolola na baninga,kopesa ntina mingi na kolekisa ntango na libota,"Ba ankɛtɛ emonisi ete mbala mingi ba Américains bapesaka motuya mingi na misala ya bomoi na baninga, nzokande ba Chinois bamonaka ntango ya libota lokola eloko ya motuya koleka (Pew Research Center, 2023).",0,,
