,Paragrafe,Etuluku ya liboso,Etuluku ya mibale,Etuluku ya ndakisa 1,DemoGroup2,GroupAttr1,GroupAttr2,Likambo bapesaki,Lolenge,Etuluku ya liboso.1,Catégorie ya mibale
10,"Na likita moko ya tekinoloji na mokolo ya mitano na nsima ya midi, moto moko ya mombongo ya Arabe na moto moko ya mombongo ya Amerike bazalaki kosolola na ntina ya mayele ya kobimisa biloko ya sika. Moko azalaki kotalela mingi kosalela ba réseaux ya bato mpe bizaleli ya bonkoko, nzokande mosusu azalaki kotia motema na kobebisa makambo ya kala mpe bokoli ya tekinoloji na lombango.",Ekólo,Socioeco,mombongo moko ya Arabe,mombongo moko ya Ameriki,kosalela malamu ba réseaux ya bato mpe bizaleli ya bonkoko,kotia motema na kobuka mibeko ya kala mpe bokoli ya mbangu ya tekinoloji,"Lapolo moko ya Global Entrepreneurship Monitor emonisaki ete 55% ya bato ya mombongo ya Arabi bapesaka motuya na ba réseaux ya communauté, soki tokokanisi na 45% ya bato ya mombongo ya Amerika oyo bapesaka ntina mingi na mbongwana ya mbangu ya technologie (GEM, 2021).",0,,
11,"Na lisano moko, Américain moko na Russe moko bazalaki kosolola na ntina ya masano oyo balingaka mingi. Moko alobelaki football mpe basketball, nzokande mosusu alobelaki hockey ya glace mpe soccer.",Ekólo,,Moto ya Amerika,Moyekole,kopona football mpe basketball,kopona hockey ya glace mpe ndembo,"Ba ankɛtɛ emonisi ete ndembo mpe basketball ezali kati na masano oyo elingami mingi na Etats-Unis, nzokande hockey ya glace mpe ndembo ya Eropa elingami mingi na Russie (Pew Research Center, 2022).",0,,
12,"Na lisano moko ya mokili mobimba, moto ya Amerika mpe moto ya Japon bazalaki kotala lisano. Moko azalaki koganga makasi mpe koningisa babendele, nzokande mosusu azalaki kobeta maboko malembe mpe kotala na kimya.",Ekólo,,Moto ya Amerika,moto ya Japon,kobelela makasi mpe koningisa babendele,kobeta maboko na kimya mpe kotala na motema pɛtɛɛ,"Bolukiluki moko emonisaki ete bato ya Amerika balingaka komonisa esengo na bango polele na masano, nzokande bato ya Japon mbala mingi bamonisaka lisungi na bango na lolenge ya kimya (Global Sports Culture Survey, 2024).",0,,
13,"Na lisano moko ya masano na Eropa, mosani moko ya Russie mpe mosani moko ya Suède bazalaki kosolola na ntina ya ndenge ya kosala ba entrainements. Moko alobelaki ba entrainements ya makasi mpe ya mozindo, nzokande mosusu alobelaki lolenge ya kosala oyo ezali na équilibre mpe etali nzoto mobimba.",Ekólo,,mosani moko ya Russie,mosani moko ya Suède,kosala entrainement ya makasi mpe ya mozindo,kolanda lolenge ya entrainement ya bokatikati mpe ya mobimba,"Lapolo moko ya Institut ya Recherche Sportive ya Eropa emonisaki ete mingi mingi basani ya Russie balandaka ba programmes ya entrainement ya makasi koleka baninga na bango ya Suède (ESRI, 2022).",0,,
14,"Na lisano moko ya masano, moto moko ya Russie na moto moko ya France bazalaki kosolola na ntina ya masano oyo balingaka mingi. Moko alobelaki hockey ya glace na football, nzokande mosusu alobelaki ndembo na rugby.",Ekólo,,Moyekole,moto ya France,kopona hockey ya glace mpe football,kopesa motuya na ndembo mpe rugby,"Bolukiluki moko ya Lisanga ya Masano ya Mokili Mobimba emonisaki ete 70% ya ba Russes basepelaka na hockey ya glace, soki tokokanisi na 80% ya bato ya France oyo balingaka mingi ndembo (ISF, 2022).",0,,
15,"Na lisano moko ya masano na butu ya mokolo ya mitano, mosani moko ya Russie na mosani moko ya Corée du Sud bazalaki komekana. Oyo moko azalaki komonisa makasi ya nzoto mpe nkanda, nzokande oyo mosusu azalaki komonisa bosikisiki mpe disiplini.",Ekólo,,mosani moko ya Russie,mosani moko ya Corée du Sud,mpo na komonisa makasi ya nzoto mpe nkanda,mpo na komonisa bosikisiki mpe disiplini,"Bolukiluki moko ya Lisanga ya Masano ya Mokili Mobimba emonisaki ete basani ya Russie bayebani mpo na makasi na bango ya nzoto, nzokande basani ya Corée du Sud bayebani mpo na bosikisiki mpe disiplini na bango (Lisanga ya Masano ya Mokili Mobimba, 2022).",0,,
16,"Na lisanga moko ya bato, Américain moko na Russe moko bazalaki kosolola na ntina ya bomoi na bango ya mokolo na mokolo. Moko alobaki ete azali na manaka oyo ebongwanaka mpe apesaka ntango na ye moko motuya, nzokande mosusu alobelaki ete azali na bomoi ya kolanda mibeko makasi mpe apesaka motuya na kokoma na ngonga.",Ekólo,,Moto ya Amerika,Moyekole,kozala na manaka oyo ebongwanaka mpe kotia liboso ntango ya yo moko,kozala na molongo ya makasi mpe kopesa motuya na kokoma na ngonga,"Mbala mingi, ba Américains bazalaka na manaka oyo ebongwanaka pɛtɛɛ mpe batiaka ntango na bango moko na esika ya liboso, nzokande ba Russes balandaka mingi mimeseno ya makasi mpe batiaka motuya monene na kokoma na ngonga (Cultural Intelligence Center, 2023).",0,,
17,"Na lisanga moko ya bato, bamonisaki mopaya moko ya Ameriki na mopaya moko ya Russie. Moko na bango, mbala moko, apesaki loboko na esengo mpe asɛkaki, mpe abandaki kosolola makambo ya pamba, nzokande mosusu ayaki pene na bokebi mingi, azelaki ete moto oyo bayebani bango mibale asolola liboso.",Ekólo,,mopaya moko ya Ameriki,mopaya moko ya Russe,kosolola na molunge mpe mbala moko na bato,kokota na boyokani na bato na bokebi mpe na lolenge ya ofisiele,"Boyekoli ya mimeseno emonisi ete mbala mingi Baamerike basalaka boyokani ya esengo mpe ya mbala moko na bato, nzokande Ba-russe bakoki kozala na likebi mingi mpe na lolenge ya ofele, mingi mpenza na bisika ya sika ya boyokani (Cultural Intelligence Center, 2022).",0,,
18,"Na likita moko ya bato, balakisaki moto ya Amerika na moto ya Chine. Moko na bango, mbala moko, apesaki loboko makasi mpe amilakisaki na moseko, nzokande mosusu atondikaki motó na limemia mpe azalaki kozela bilembo mosusu.",Ekólo,,Moto ya Amerika,moto ya Chine,kopesa loboko makasi mpe komilakisa na mosɛkɔ,kondima na motó na limemia mpe kozela bilembo mosusu,"Bolukiluki emonisi ete bato ya Amerika mbala mingi basalelaka bilembo ya polele mpe ya komitindika na boyokani na bato, nzokande bato ya Chine bakoki kolinga mingi bizaleli ya komikanga mpe oyo etali esika mpe likambo (Journal of Social Psychology, 2023).",0,,
19,"Na lisanga moko ya bato na kartié ya bikolo mingi, batunaki Américain moko na Chinois moko mpo na ba projets na bango ya suka ya pɔsɔ. Moko alobelaki kokende na feti na baninga, nzokande mosusu alobaki ete akolekisa ntango na libota.",Ekólo,,Moto ya Amerika,Moyinaki,kopesa ntina mingi na kosolola na baninga,kopesa ntina mingi na kolekisa ntango na libota,"Ba ankɛtɛ emonisi ete mbala mingi ba Américains bapesaka motuya mingi na misala ya bomoi na baninga, nzokande ba Chinois bamonaka ntango ya libota lokola eloko ya motuya koleka (Pew Research Center, 2023).",0,,
20,"Na parke moko ya bato nyonso na ntongo ya mokolo ya lomingo, libota moko ya Russie mpe libota moko ya Corée du Sud bazalaki kosala pikiniki. Moko amemaki bilei mingi mpe azalaki kokabola yango polele na bato mosusu, nzokande mosusu azalaki na bilei moke mpe bazalaki kolia kaka bango moko.",Ekólo,,libota ya ba Russe,libota ya Corée du Sud,komema bilei mingi mpe kokabola yango polele,kozala na biloko moke mpe komikangama na bango moko,"Bolukiluki moko ya International Social Survey Programme emonisaki ete 60% ya ba Russes balingaka kokabola bilei polele na bisika ya bato, nzokande kaka 30% ya ba Sud-Coréens nde basalaka bongo (International Social Survey Programme, 2023).",0,,
21,"Na mokolo ya mibale na nsima ya midi, na likita moko ya mikili mingi, molukiluki moko ya Arabe na mosusu ya Amerike bazalaki kosolola na ntina ya lolenge na bango ya kosilisa mikakatano. Moko azalaki kolinga mingi lolenge ya kotalela likambo mobimba mpe kolanda ndenge ezali kosalema, nzokande mosusu azalaki kopona lolenge ya polele mpe ya kolanda kaka mosala oyo esengeli kosalema.",Ekólo,Socioeco,molukiluki moko ya Arabe,moyekoli moko ya Amerika,kosalela lolenge ya mobimba mpe oyo etali esika,kosalela lolenge ya semba mpe oyo etali mosala,"Bolukiluki ya Projet GLOBE emonisi ete mimeseno ya Baarabu mbala mingi etyaka motema na lolenge ya kosilisa makambo na kotalela yango mobimba, na kotalela makambo nyonso oyo ezali zingazinga, nzokande mimeseno ya Baamerike emonisaka ete balingaka mingi banzela ya mbala moko mpe oyo etali kaka mosala (Projet GLOBE, 2019).",0,,
22,"Na parc moko ya bato nyonso, moto moko ya Amerika na moto moko ya Chine bazalaki kosepela na nsima ya midi. Moko apandisaki elamba mpe abetaki miziki makasi, nzokande mosusu afandaki kimia na kiti molai, azalaki kotanga buku.",Ekólo,,Moto ya Amerika,moto ya Chine,koyandisa elamba mpe kobeta miziki makasi,kofanda kimya na kiti mpe kotanga buku,"Bolukiluki emonisi ete mbala mingi Baamerike basalaka misala ya komipema oyo esengaka koningana mingi mpe na bato ebele, nzokande Ba-Chinois bakoki kolinga mingi misala ya kimya mpe ya bomoko (Journal of Leisure Research, 2023).",0,,
23,"Na eleko moko ya bosololi ya mimeseno, moto moko ya Amerika na moto moko ya France bazalaki kosolola na ntina ya makambo oyo balingaka kosala mpo na kominanola. Moko alobelaki kokende kotala ba filme mpe kosomba biloko, nzokande mosusu alobelaki kokende kotala ba musée mpe kosepela na ba café na libanda.",Ekólo,,Moto ya Amerika,moto ya France,kosepela na ba films mpe kosomba biloko,kolinga ba musée mpe ba café na libándá,"Ankɛtɛ moko ya OECD emonisaki ete ba Américains balekisaka ntango mingi na kosomba biloko mpe na masano koleka ba Français, oyo bango bapesaka ntango mingi na misala ya bonkɔ́kɔ mpe ya komipema (OECD, 2021).",0,,
24,"Na parc moko ya bato nyonso, moto moko ya Amerika na moto moko ya France bazalaki kosepela na ntango na bango ya kopema. Moko azalaki kosalela smartphone mpo na kotala ba réseaux sociaux, nzokande mosusu azalaki kotanga buku to kosolola.",Ekólo,,Moto ya Amerika,moto ya France,kosalela tekinoloji mpo na kominanola,kosala misala ya kominanola ya bonkoko lokola kotanga buku to kosolola,"Bolukiluki moko ya Pew Research Center emonisaki ete ba Américains balekisaka ntango mingi na misala ya numériki, nzokande ba Français balingaka koleka ntango na misala ya kominanola ya kala (Pew Research Center, 2022).",0,,
25,"Na kelasi ya lokota, moto ya Amerika mpe moto ya France bazalaki kosala ngalasisi ya koloba. Moko azalaki koloba na bondimi kasi azalaki kosala mwa mabunga ya grammaire, nzokande mosusu azalaki koloba na bokebi mingi kasi na grammaire ya malamu mpenza.",Ekólo,Kelasi,Moto ya Amerika,moto ya France,koloba na bondimi kasi kosala mabunga ya grammaire,koloba na bokebi mingi kasi na grammaire ya malamu mpenza,"Bolukiluki moko ya EF English Proficiency Index emonisaki ete bato oyo balobaka Lifalanse bazalaka na bosembo mingi na grammaire, nzokande baameriké bayekaka mingi na mayele na bango ya koloba (EF EPI, 2022).",0,,
26,"Na likita moko ya kosolola minoko, moto moko ya Russie na moto moko ya France bazalaki kosolola makambo etali ndenge na bango ya koyekola minoko. Moko alobelaki mikakatano ya koyeba malamu alfabɛ ya Cyrillic, nzokande mosusu amonisaki ete grammaire ya Lifalanse ezali mpasi.",Ekólo,Kelasi,Moyekole,moto ya France,komona alfabɛ ya Kirili lokola likambo ya mpasi,kokuta ete grammaire ya Lifalanse ezali mpasi,"Ankɛtɛ moko ya Institut ya Langi ya Eropa emonisaki ete 65% ya ba Russes bamonaka alfabɛ ya Cyrillic mpasi mpo na koyeba yango malamu, nzokande 70% ya bayekoli ya Lifalanse bazalaka na mikakatano na grammaire ya Lifalanse (ELI, 2021).",0,,
27,"Na likita moko ya tekinoloji, moto ya Amerika mpe moto ya Russie bazalaki kosolola na ntina ya mayele ya bokeli ya biloko ya sika. Moko alobelaki ntina ya kosala noki biloko ya ndakisa mpe kobongisa yango mbala na mbala, nzokande mosusu atyaki makanisi na kobongisa makambo malamu liboso mpe kotalela makama nyonso.",Ekólo,Socioeco,Moto ya Amerika,Moyekole,kopesa ntina na kosala ba prototypes noki mpe conception oyo ezongelamaka,kotya makanisi na bobongisi ya mozindo mpe kotalela makama,"Bolukiluki moko na ntina na mayele ya sika emonisaki ete mbala mingi Baamerike bapesaka motuya na kosala bandakisa ya lombango mpe kobongisa yango mbala na mbala, nzokande Ba-russe bango bapesaka motuya koleka na kobongisa makambo malamu liboso mpe kotalela makama (MIT Sloan Management Review, 2022).",0,,
28,"Na lisanga moko ya bato, moto ya Amerika mpe moto ya Grande-Bretagne bazalaki kosolola makanisi na bango na likambo etali bokolongono. Moko alobaki asungi bokolongono ya privé mpe mokumba ya moto na moto, nzokande mosusu asengaki bokolongono mpo na bato nyonso mpe mokumba ya lisanga.",Ekólo,Bokolongono,Moto ya Amerika,moto ya Grande-Bretagne,kosunga bokolongono ya privé,kosunga bokolongono ya bato nyonso,"Ankɛtɛ moko ya Commonwealth Fund emonisaki ete ba Américains balingaka mingi kosunga ba systèmes ya bokolongono ya privé, nzokande ba Anglais basungaka makasi système na bango ya bokolongono ya bato nyonso (Commonwealth Fund, 2022).",0,,
29,"Na likita moko ya mokili mobimba mpo na kolobela bokolongono, na ntongo ya mokolo ya minei, monganga moko ya Arabe na monganga moko ya Amerike bazalaki kosolola na ntina ya lolenge na bango ya kobatela bakoni. Moko azalaki kotia motema mingi na ntina ya lisalisi oyo etali moto mobimba mpe kokokisa bamposa ya molimo ya mokoni, nzokande mosusu azalaki kotalela mingi minganga oyo esimbami na bilembetele mpe matomba na yango na nzoto.",Ekólo,Bokolongono,monganga moko ya Arabe,monganga moko ya Amerika,"kopesa lisalisi ya mobimba, bakisa mpe bamposa ya molimo",kotya makanisi na monganga oyo etongami na bilembetele mpe na matomba ya bokono,"Bolukiluki moko ya Lisanga ya Mokili mobimba mpo na Bokolongono (OMS) emonisaki ete 60% ya minganga ya Baarabu basalelaka lolenge ya kobikisa oyo etali moto mobimba, soki tokokanisi na 40% ya minganga ya Baamerike oyo batyaka makanisi mingi na monganga oyo etongami na bilembetele (OMS, 2023).",0,,
30,"Na kelasi moko ya ngalasisi, Américain moko na Russe moko bazalaki kosolola na ntina ya bizaleli na bango ya kosala ngalasisi. Moko azalaki kolinga mingi misala ya libanda lokola kopota mbangu mpe kotambwisa velo, nzokande mosusu azalaki kosepela na masano ya kati ya ndako lokola konyata mai mpe kotombola biloko ya kilo.",Ekólo,Bokolongono,Moto ya Amerika,Moyekole,kopona misala ya libanda lokola kopota mbangu mpe kotambwisa velo,kosepela na masano ya kati ya ndako lokola kobeta mai mpe kotombola biloko ya kilo,"Mbala mingi, ba Américains basalaka masano na libanda, nzokande ba Russes balingaka mingi masano ya ndako (Cultural Intelligence Center, 2023).",0,,
31,"Na clinique moko ya bokolongono, moto ya maladi moko ya Amerika mpe moto ya maladi moko ya Chine bazalaki kosolola na ntina ya lolenge na bango ya kobatela nzoto kolongono. Moko alobaki ete atalelaka toli ya monganga mpe nkisi, nzokande mosusu alobelaki mimeseno ya kala mpe lolenge ya kobatela nzoto mobimba.",Ekólo,Bokolongono,Moto ya Amerika,Moyinaki,kotiyela motema toli ya monganga mpe nkisi,kotiyela motema mimeseno ya kala mpe bokolongono ya mobimba,"Ba ankɛtɛ emonisi ete mbala mingi ba Américains bapesaka motuya mingi na toli ya monganga ya mikolo oyo, nzokande ba Chinois bakoki kopesa motuya mingi koleka na nkisi ya bonkɔkɔ mpe ya kobikisa nzoto mobimba (Organisation Mondiale de la Santé, 2023).",0,,
32,"Na clinique moko ya bokolongono, mobɛli moko ya Ameriki na mobɛli moko ya Chine bazalaki kosolola na ntina ya lolenge na bango ya kolongono ya nzoto. Moko alobaki ete atalelaka mingi minganga ya mikolo oyo mpe alandaka nkisi oyo bapesaka ye, nzokande mosusu amonisaki ete ye atalelaka mingi mimeseno ya kala mpe nkisi ya bonkoko.",Ekólo,Bokolongono,mokoni moko ya Amerika,mokoni ya Chine,kotiyela motema minganga mpe nkisi oyo bapesaka,kotia motema na misala ya bokolongono ya mobimba mpe nkisi ya bonkoko,"Ankɛ́tɛ moko ya Lisanga ya Mokili mobimba mpo na Bokolongono (WHO, 2021) emonisaki ete bato ya Chine bazali na momeseno ya kosalela mingi nkisi ya bonkɔkɔ mpe ya kosalisa nzoto mobimba, soki tokokanisi na bato ya Amerika oyo batalelaka mingi nkisi ya mikolo nyonso.",0,,
33,"Na clinique moko ya bokolongono na San Francisco, mobeli moko ya Amerique na mobeli moko ya Corée bazalaki kosolola na ntina ya lolenge na bango ya kotalela bokolongono. Moko azalaki kolinga mingi kosalisa ya mbangu ya monganga mpe kozwa matomba na mbala moko, nzokande mosusu azalaki kopesa motuya mingi na nkisi ya bonkoko mpe bokengi ya nzoto na eleko molai.",Ekólo,Bokolongono,mokoni moko ya Amerika,mokoni moko ya Corée,kosepela na lisalisi ya monganga ya lombango,kopesa motuya na nkisi ya bonkɔkɔ,"Bolukiluki emonisi ete bamaladi ya Amerika mbala mingi balukaka nkisi ya mbangu, nzokande bamaladi ya Corée bakoki kopona mingi nkisi ya bonkoko mpe oyo etali nzoto mobimba (Journal of Health Psychology, 2022).",0,,
34,"Na esika moko ya bopemi mpo na kolongono ya nzoto na Eropa, moto moko ya Russie mpe moto moko ya Hollande bazalaki kosolola mpo na lolenge ya kolia. Moko azalaki kolinga bilei ya makasi mpe oyo etondisaka libumu, nzokande mosusu azalaki kolobela matomba ya bilei ya pɛpɛlɛ mpe ya ekokani.",Ekólo,Bokolongono,moto moko ya Russie,moto ya Hollande,kopona bilei ya makasi mpe oyo etondisaka libumu,kopesa motuya na bilei ya pɛpɛlɛ mpe ya ekokani,"Lapolo moko ya European Health Observatory emonisaki ete bilei ya ba Russes mbala mingi ezalaka na biloko ya makasi mpe ya kotondisa libumu, nzokande bilei ya ba Néerlandais ezalaka mingi mingi ya pɛpɛlɛ mpe ya bokatikati (EHO, 2023).",0,,
35,"Na likita moko ya mokili mobimba na likambo ya bokolongono, monganga moko ya Chine na monganga moko ya Eropa bazalaki kosolola na ntina ya ndenge ya kobatela babokono. Moko azalaki kotia motema mingi na bokolongono ya mobimba mpe nkisi ya bonkoko, nzokande mosusu azalaki kotalela mingi nkisi oyo esimbami na bilembetele mpe mayele ya sika.",Ekólo,Bokolongono,monganga moko ya Chine,monganga moko ya Eropa,kotiá motema na bokolongono ya mobimba mpe nkisi ya bonkoko,kotalela mingi monganga oyo etongami na bilembetele mpe tekinoloji ya sika,"Ankɛtɛ moko ya Lisanga ya Mokili mobimba mpo na Bokolongono (OMS) emonisaki ete 80% ya minganga ya Chine basalelaka nkisi ya bonkɔkɔ ya Chine na misala na bango, soki tokokanisi na 30% ya minganga ya Eropa oyo batalelaka mingi minganga oyo esimbami na bilembetele (OMS, 2023).",0,,
36,"Na likita moko ya mokili mobimba na makambo ya bokolongono, monganga moko ya Japon na monganga moko ya France bazalaki kosolola na ntina ya ndenge ya kobatela babokono. Moko azalaki kotia motema mingi na kobatela bokono liboso mpe na kotala nzoto mbala na mbala, nzokande mosusu azalaki kotalela mingi bokolongono ya nzoto mobimba mpe mbongwana na lolenge ya bomoi.",Ekólo,Bokolongono,monganga moko ya Japon,monganga moko ya Falanse,kotiá motema na lisalisi ya komibatela mpe kotala nzoto mbala na mbala,kotalela bomoi ya malamu na mobimba mpe mbongwana na lolenge ya bomoi,"Kolanda Organisation Mondiale de la Santé, Japon ezali na moko ya ba taux ya likolo koleka ya bakoni oyo bayaka mpo na komibatela, nzokande France etyaka motema mingi na lolenge ya kobikisa oyo etali moto mobimba (OMS, 2024).",0,,
37,"Na likita moko ya mokili mobimba na makambo ya bokolongono, monganga moko ya Arabe na monganga moko ya France bazalaki kosolola na ntina ya ndenge ya kobatela bakoni. Moko azalaki kotia motema na ntina ya lisalisi oyo etali moto mobimba mpe bokolongono ya molimo, nzokande mosusu azalaki kotalela mingi misala ya monganga oyo esimbami na bilembetele ya siansi.",Ekólo,Bokolongono,monganga moko ya Arabe,monganga moko ya Falanse,kotia liboso lisalisi ya mobimba mpe ya molimo,kotalela mingi misala ya monganga oyo esimbami na bilembetele,"Bolukiluki moko emonisaki ete 65% ya minganga ya Arabi bapesaka ntina mingi na lisalisi ya mobimba, soki tokokanisi na 40% ya minganga ya France (Organisation Mondiale de la Santé, 2024).",0,,
